latiude,longitude
35.314049,138.961861
35.313972,138.961868
35.464668,139.873993
35.075523,138.92601
35.313988,138.961838
35.075516,138.925964
35.314003,138.961845
35.314011,138.961845
35.464699,139.874062
35.075562,138.925957
35.314018,138.961937
35.075554,138.925949
35.075485,138.925957
35.314026,138.961807
35.361473,139.02182
35.361473,139.02182
35.346184,139.487495
35.075546,138.92601
35.075546,138.92601
35.075523,138.926025
34.630531,133.89595
34.630542,133.895961
34.683945,133.994698
34.630486,133.895935
36.319916,138.591141
36.319946,138.591125
34.760193,135.363701
34.748177,134.392174
34.748177,134.392174
34.490807,133.315376
34.490807,133.315376
34.492012,133.314682
34.817505,134.981728
34.996803,135.882645
34.760178,135.363701
34.995605,135.883812
34.837883,134.87455
34.692757,133.874268
34.692757,133.874268
34.490822,133.315376
34.748276,134.392082
34.804512,134.462738
34.828613,135.296982
34.925194,137.513067
34.925222,137.513075
34.984758,135.754156
34.640383,138.111508
34.781917,137.608147
35.018933,136.594844
34.365139,132.316683
31.536325,130.536092
31.536289,130.535969
31.536294,130.535975
31.536306,130.535975
31.7935,130.442939
31.536283,130.536019
31.223,130.646525
31.465819,130.345219
31.536336,130.535956
31.727767,130.614875
31.726231,130.615728
31.788781,130.313442
31.536311,130.535983
31.536353,130.536025
31.536289,130.535972
31.536311,130.535953
31.536294,130.535983
31.536286,130.535989
31.536333,130.536017
34.351244,134.044817
34.351206,134.044853
34.351256,134.044844
34.351203,134.044881
35.669956,139.49865
35.669906,139.498428
35.669856,139.498569
35.669925,139.498331
34.5105,135.400878
34.5105,135.400878
36.554264,136.633958
36.344789,139.568689
36.308117,139.761294
36.397431,139.883211
36.397428,139.883231
36.397447,139.883228
36.37965,139.733972
34.816136,135.334506
34.816131,135.334517
34.816153,135.334478
34.789358,135.337036
34.816139,135.334542
34.789378,135.337047
34.789342,135.337056
34.789381,135.337047
34.789353,135.337053
34.789386,135.337042
35.334525,137.043628
35.334608,137.043572
35.712297,137.906442
36.121403,137.625092
35.041522,136.05695
34.943161,135.721561
34.789378,135.337089
35.334539,137.043644
35.449631,137.745542
36.171189,137.947761
36.171192,137.947761
35.321286,136.540994
34.816164,135.334525
34.816133,135.334519
34.784889,135.381011
34.816169,135.334472
35.334519,137.043625
35.712242,137.906375
34.816153,135.334525
34.816147,135.334506
34.816164,135.334533
34.789367,135.337078
34.789386,135.337092
34.816153,135.33455
34.816142,135.334528
35.334517,137.043639
35.712258,137.906419
34.943158,135.721581
34.816122,135.3345
34.816169,135.334503
35.640917,139.427117
35.754303,139.387003
35.686364,139.341081
35.017761,137.123863
34.994324,137.060829
34.966347,137.065346
35.107194,137.164906
35.098083,137.163696
35.152237,137.016624
35.15226,137.016617
35.154472,137.028778
35.117332,137.023033
35.132072,136.993927
35.099098,137.048103
35.152283,137.016617
35.117409,137.023026
35.11734,137.023033
35.280716,136.853798
35.117393,137.023071
35.117416,137.023048
35.04937,137.153755
35.049286,137.153778
35.216843,137.062096
35.359253,137.176178
35.049355,137.15374
35.049423,137.15377
35.117294,137.023018
35.078461,137.159523
35.078438,137.159584
35.038933,137.050369
35.34626,137.153275
35.092743,137.079468
35.049347,137.153755
35.04937,137.153732
35.049309,137.153763
35.393257,137.18811
35.017746,137.123795
35.208565,137.085152
35.095337,137.221977
35.360664,137.199348
35.435669,137.041298
35.078445,137.159546
35.324303,137.153816
35.295357,138.920654
35.368698,138.919075
35.295677,138.92038
35.035622,138.379269
34.663469,135.013569
34.663437,135.013672
34.663437,135.013535
34.6634,135.0134
34.663498,135.013474
34.663375,135.013517
34.663447,135.013531
34.663481,135.013539
34.663445,135.013504
34.663461,135.013592
34.663452,135.013603
34.663437,135.013535
34.663372,135.013489
31.387352,130.877937
31.744858,130.762718
31.744858,130.762718
31.388779,130.895195
31.38736,130.877937
31.387337,130.877937
31.387352,130.87796
31.744827,130.76265
31.744827,130.76265
31.387352,130.877922
31.38736,130.877983
31.388794,130.895195
31.744896,130.762627
31.744858,130.762657
31.387344,130.877907
31.387352,130.877937
31.387352,130.877937
31.387352,130.877922
31.744827,130.762703
31.74485,130.762634
31.387337,130.877983
31.38739,130.877922
31.753662,130.762848
31.387344,130.877914
31.387344,130.87796
31.387367,130.877945
31.744896,130.762657
31.387413,130.877922
31.74485,130.762657
31.38736,130.877892
31.744873,130.762627
31.744888,130.762703
31.387344,130.878021
31.744873,130.762695
31.387398,130.877914
31.74485,130.762634
31.387375,130.877937
31.387398,130.877922
31.387405,130.87796
31.388779,130.895332
31.744926,130.76265
31.387364,130.877975
31.753662,130.76284
31.744888,130.762672
31.744858,130.76265
31.967331,130.952042
31.744858,130.762695
31.74485,130.762611
31.744873,130.762657
31.744858,130.762634
31.74485,130.762657
31.387444,130.878052
31.387444,130.878052
31.387375,130.877983
31.387413,130.877907
31.38736,130.877914
31.38736,130.877983
31.744858,130.762619
31.387344,130.877876
31.38736,130.877914
31.744881,130.762726
31.744896,130.762741
31.388779,130.895279
31.710358,130.782875
31.710358,130.782875
31.536308,130.53598
31.710396,130.782898
31.387352,130.877968
31.38736,130.877975
31.710335,130.782875
31.587234,130.562294
31.710419,130.78286
31.710358,130.782867
31.710396,130.78286
31.710389,130.782889
36.331596,140.593025
36.688385,139.10836
35.975647,139.752022
35.975639,139.752022
35.975639,139.752022
35.975647,139.752045
35.975647,139.752045
35.975693,139.75206
35.975693,139.75206
35.975677,139.752052
35.975677,139.752052
35.895403,139.769089
34.007972,130.950797
34.007953,130.950833
33.738419,130.517738
34.590881,135.475825
34.593317,135.469306
34.593317,135.469306
36.503369,136.872417
37.451483,138.812328
37.451439,138.812342
36.503283,136.872814
34.492867,135.414125
34.594908,135.482142
34.492844,135.414158
34.492833,135.414119
34.492867,135.414094
34.492861,135.414086
34.492906,135.414094
